,title,carpet_area,price
0,3 BHK Flat,2100 ,₹ 3.60 Cr
1,3 BHK Flat,1814 ,₹ 77.4 Lac
2,3 BHK Flat,1285 ,₹ 92.6 Lac
3,4 BHK Flat,230 sqm,₹ 3.26 Cr
4,3 BHK Flat,1441 ,₹ 67.9 Lac
5,2 BHK Flat,1040 ,₹ 69 Lac
6,2 BHK Flat,680 ,₹ 45.5 Lac
7,3 BHK Flat,2227 ,₹ 1.33 Cr
8,3 BHK Flat,1439 ,₹ 1.60 Cr
9,2 BHK Flat,1343 ,₹ 84.3 Lac
10,2 BHK Flat,1050 ,₹ 65.9 Lac
11,2 BHK Flat,1331 ,₹ 84 Lac
12,3 BHK Flat,1314 ,₹ 61.8 Lac
13,3 BHK Flat,1681 ,₹ 82.2 Lac
14,2 BHK Flat,1350 ,₹ 60.6 Lac
15,2 BHK Flat,885 ,₹ 36 Lac
16,2 BHK Flat,1115 ,₹ 55.8 Lac
17,2 BHK Flat,1405 ,₹ 68.1 Lac
18,3 BHK Flat,1440 ,₹ 67.4 Lac
19,2 BHK Flat,1170 ,₹ 67.4 Lac
20,2 BHK Flat,950 ,₹ 41.3 Lac
21,4 BHK Flat,3750 ,₹ 3.71 Cr
22,2 BHK Flat,1150 ,₹ 49.9 Lac
23,3 BHK Flat,1245 ,₹ 92.4 Lac
24,3 BHK Flat,2079 ,₹ 1.04 Cr
25,3 BHK Flat,1789 ,₹ 1.10 Cr
26,3 BHK Flat,1429 ,₹ 88.3 Lac
27,2 BHK Flat,1230 ,₹ 57.2 Lac
28,1 BHK Flat,1000 ,₹ 24 Lac
29,1 BHK Flat,775 ,₹ 28.2 Lac
30,3 BHK Flat,2322 ,₹ 1.70 Cr
